data,quantidade
2022-03-11,156
2022-03-12,780
2022-03-12,210
2022-03-12,783
2022-03-14,3390
2022-03-14,10260
2022-03-14,4857
2022-03-14,3600
2022-03-14,3000
2022-03-14,225
2022-03-15,6000
2022-03-15,900
2022-03-15,12300
2022-03-15,240
2022-03-15,1041
2022-03-15,2250
2022-03-15,16278
2022-03-16,420
2022-03-16,450
2022-03-16,678
2022-03-16,693
2022-03-16,540
2022-03-16,11229
2022-03-16,1431
2022-03-16,1401
2022-03-17,2196
2022-03-17,1551
2022-03-17,300
2022-03-17,2568
2022-03-17,1530
2022-03-17,3600
2022-03-17,630
2022-03-17,450
2022-03-18,180
2022-03-18,1560
2022-03-18,450
2022-03-18,3540
2022-03-18,20766
2022-03-19,600
2022-03-19,60
2022-03-19,4680
2022-03-21,7500
2022-03-21,3096
2022-03-21,3900
2022-03-21,1560
2022-03-21,630
2022-03-21,3000
2022-03-21,450
2022-03-21,12066
2022-03-21,2475
2022-03-21,600
2022-03-22,2001
2022-03-22,306
2022-03-22,2250
2022-03-22,3600
2022-03-22,480
2022-03-22,780
2022-03-22,900
2022-03-22,540
2022-03-22,150
2022-03-22,2316
2022-03-23,60
2022-03-23,747
2022-03-23,2601
2022-03-23,7641
2022-03-23,390
2022-03-23,240
2022-03-23,1635
2022-03-23,2250
2022-03-24,2445
2022-03-24,1431
2022-03-24,600
2022-03-24,3000
2022-03-24,1500
2022-03-24,1401
2022-03-24,2760
2022-03-24,1290
2022-03-24,945
2022-03-25,450
2022-03-25,1251
2022-03-25,1500
2022-03-25,600
2022-03-25,5325
2022-03-26,690
2022-03-26,90
2022-03-28,3804
2022-03-28,945
2022-03-28,675
2022-03-29,690
2022-03-29,1401
2022-03-29,750
2022-03-29,870
2022-03-29,3501
2022-03-29,1440
2022-03-29,3993
2022-03-29,1380
2022-03-29,2550
2022-03-30,1320
2022-03-30,450
2022-03-30,750
2022-03-30,11415
2022-03-30,1410
2022-03-30,1260
2022-03-31,3294
2022-03-31,210
2022-03-31,1470
2022-03-31,750
2022-03-31,4050
